Time,IR_brachial,IR_ankle
12,57718,57636
17,74273,75147
22,90516,90761
27,106965,103650
31,109449,103824
36,109461,103858
41,109444,103849
47,109454,103838
52,109461,103867
57,109457,103863
62,109480,103844
67,109464,103886
71,109465,103876
76,109457,103898
81,109470,103888
87,109476,103886
92,109487,103880
97,109473,103910
102,109484,103907
107,109482,103952
112,109493,103943
116,109480,103968
121,109482,103965
125,109490,103968
131,109488,103995
136,109508,104017
141,109522,104014
145,109521,104052
150,109512,104042
155,109537,104061
160,109580,104072
165,109574,104084
171,109586,104082
176,109583,104076
181,109581,104087
185,109603,104142
190,109581,104118
195,109578,104126
200,109590,104166
205,109580,104137
210,109567,104138
216,109557,104157
221,109562,104179
226,109563,104168
230,109583,104155
235,109569,104143
240,109558,104172
245,109551,104170
250,109540,104169
256,109517,104175
261,109506,104189
266,109499,104161
271,109514,104174
275,109496,104176
280,109474,104186
285,109447,104175
290,109444,104154
295,109445,104153
301,109458,104211
306,109467,104185
311,109464,104170
315,109463,104190
320,109479,104178
325,109492,104166
330,109484,104185
335,109487,104165
340,109457,104163
346,109483,104185
351,109489,104181
356,109578,104186
360,109590,104170
365,109513,104195
370,109521,104163
375,109524,104175
380,109533,104163
386,109528,104133
391,109528,104167
396,109513,104163
400,109526,104161
405,109544,104167
410,109551,104162
415,109538,104161
420,109560,104158
425,109556,104178
431,109580,104169
436,109584,104163
441,109584,104199
445,109600,104169
460,109632,104193
465,109621,104189
471,109599,104154
476,109589,104155
481,109592,104155
486,109593,104170
491,109601,104139
496,109589,104180
501,109578,104193
504,109577,104206
509,109583,104194
515,109573,104195
520,109560,104213
525,109571,104221
530,109550,104188
535,109553,104201
540,109563,104211
545,109538,104223
550,109538,104190
556,109541,104205
561,109534,104211
566,109541,104155
570,109528,104161
575,109542,104144
580,109529,104119
585,109530,104096
590,109531,104051
595,109538,104025
601,109546,103997
606,109532,104003
611,109525,103968
616,109524,103944
621,109528,103908
626,109527,103892
631,109536,103881
635,109526,103897
640,109542,103906
645,109547,103916
650,109540,103895
655,109538,103914
660,109544,103879
665,109548,103884
670,109539,103876
675,109538,103900
679,109538,103877
685,109553,103881
690,109552,103869
695,109564,103874
700,109565,103884
705,109557,103885
710,109576,103937
715,109564,103913
720,109575,103916
726,109566,103914
731,109575,103876
736,109566,103910
741,109577,103894
746,109566,103901
750,109588,103903
755,109576,103882
760,109585,103915
765,109578,103934
770,109568,103963
775,109576,103956
780,109590,103971
785,109573,103993
790,109582,104002
794,109593,104014
799,109584,104022
804,109599,104040
809,109596,104031
815,109584,104066
820,109593,104077
825,109600,104129
830,109589,104141
835,109587,104104
840,109607,104129
845,109604,104098
850,109597,104152
856,109600,104127
860,109588,104176
865,109593,104073
870,109608,104106
875,109607,104117
880,109589,104099
885,109579,104103
890,109601,104096
896,109629,104120
901,109638,104117
904,109679,104130
909,109680,104127
914,109609,104141
919,109611,104135
924,109614,104126
929,109617,104136
934,109617,104135
940,109620,104132
945,109617,104123
950,109614,104134
955,109616,104142
960,109609,104147
965,109631,104156
970,109624,104149
974,109621,104160
979,109631,104196
985,109627,104148
990,109622,104136
995,109613,104132
1000,109625,104106
1005,109629,104114
1010,109722,104070
1015,109706,104082
1019,109686,104128
1025,109604,104134
1030,109630,104131
1035,109652,104115
1040,109623,104128
1045,109632,104122
1050,109643,104159
1055,109637,104139
1060,109643,104079
1065,109704,104131
1071,109713,104090
1076,109696,104113
1079,109636,104135
1084,109567,104115
1089,109647,104114
1094,109653,104156
1099,109641,104145
1104,109653,104167
1110,109633,104158
1115,109637,104160
1120,109695,104158
1125,109725,104150
1130,109681,104108
1135,109665,104133
1140,109560,104131
1144,109540,104152
1149,109524,104156
1155,109592,104148
1160,109573,104171
1165,109588,104147
1170,109594,104156
1175,109586,104172
1180,109686,104131
1184,109634,104130
1189,109627,104075
1195,109537,104058
1200,109489,104055
1204,109488,104067
1209,109514,104036
1214,109544,104039
1219,109553,103998
1224,109536,104014
1229,109539,103990
1234,109637,103971
1240,109594,103958
1245,109571,103915
1250,109487,103876
1255,109462,103834
1260,109478,103879
1264,109465,103876
1269,109496,103884
1274,109526,103854
1280,109518,103872
1285,109518,103858
1290,109568,103893
1295,109604,103917
1300,109581,103839
1305,109491,103821
1309,109465,103813
1314,109457,103796
1319,109465,103822
1324,109475,103827
1329,109499,103831
1334,109500,103840
1339,109522,103822
1344,109577,103819
1349,109606,103868
1354,109573,103875
1359,109534,103923
1364,109458,103841
1370,109448,103869
1375,109463,103850
1380,109482,103846
1385,109489,103892
1393,109510,103889
1398,109497,103788
1403,109470,103874
1409,109510,103918
1413,109515,103904
1418,109516,103936
1422,109528,103933
1427,109531,103949
1432,109541,104002
1437,109537,104036
1442,109579,104011
1447,109545,104022
1453,109500,103977
1458,109492,103926
1463,109462,103931
1468,109492,103821
1472,109497,103937
1477,109530,104033
1482,109515,104028
1487,109526,104039
1492,109507,104038
1498,109554,104064
1503,109570,104127
1508,109548,104093
1513,109502,104093
1518,109494,104025
1523,109471,103970
1528,109510,103978
1531,109530,104010
1537,109537,104060
1542,109537,104072
1547,109519,104042
1552,109539,104049
1557,109543,104069
1562,109574,104140
1567,109540,104101
1572,109510,104103
1577,109503,104053
1583,109511,103968
1587,109521,103958
1592,109535,104054
1597,109545,104052
1602,109556,104054
1607,109540,104046
1612,109556,104052
1617,109581,104032
1623,109561,104069
1628,109533,104117
1633,109524,104073
1638,109517,104061
1643,109536,104002
1646,109565,103959
1651,109549,104052
1656,109571,104063
1661,109563,104048
1667,109586,104049
1672,109583,104036
1677,109582,104045
1682,109581,104030
1687,109552,104098
1692,109546,104139
1697,109536,104113
1702,109537,104100
1707,109572,104035
1712,109566,104053
1717,109563,104058
1722,109565,104047
1727,109587,104053
1732,109592,104056
1737,109602,104065
1741,109577,104057
1746,109564,104048
1752,109522,104121
1757,109523,104153
1762,109515,104131
1766,109537,104116
1771,109530,104091
1776,109530,104084
1781,109529,104089
1786,109509,104085
1792,109532,104075
1797,109543,104088
1802,109525,104080
1807,109466,104095
1812,109468,104082
1817,109439,104095
1822,109462,104141
1825,109464,104087
1830,109468,104021
1836,109464,103994
1841,109473,104010
1846,109460,103949
1851,109490,103924
1856,109509,103940
1861,109482,103915
1866,109448,103899
1871,109435,103909
1876,109419,103893
1882,109424,103866
1886,109444,103891
1891,109460,103835
1896,109442,103825
1901,109440,103818
1906,109438,103797
1911,109459,103812
1916,109481,103810
1922,109482,103782
1927,109423,103798
1932,109380,103793
1937,109403,103797
1940,109424,103773
1945,109432,103788
1950,109440,103808
1955,109435,103758
1960,109428,103781
1966,109476,103765
1971,109466,103817
1976,109470,103801
1981,109439,103790
1986,109416,103805
1991,109396,103798
1996,109410,103794
2000,109435,103805
2006,109432,103810
2011,109424,103813
2016,109429,103834
2021,109470,103808
2026,109464,103848
2031,109477,103799
2036,109443,103830
2041,109419,103838
2046,109405,103866
2052,109423,103854
2055,109428,103864
2060,109444,103877
2065,109436,103865
2070,109452,103888
2075,109448,103886
2080,109477,103901
2085,109475,103884
2091,109461,103919
2096,109441,103941
2101,109410,103913
2106,109401,103936
2111,109412,103956
2115,109453,103945
2120,109450,103958
2125,109445,103964
2130,109451,103959
2136,109446,103973
2141,109469,103972
2146,109493,103952
2151,109467,103990
2156,109425,103982
2161,109397,103979
2166,109427,103964
2169,109450,104002
2174,109458,103982
2180,109464,103995
2185,109453,103986
2190,109460,103982
2195,109482,103987
2200,109491,103965
2205,109496,103967
2210,109472,103989
2215,109466,103970
2221,109429,103969
2226,109435,103935
2230,109459,103964
2235,109458,103956
2240,109479,103952
2245,109480,103952
2250,109511,103964
2254,109501,103942
2259,109515,103974
2265,109518,103975
2270,109480,103958
2275,109467,103943
2280,109459,103989
2285,109478,103966
2289,109470,103959
2294,109483,103962
2299,109500,103969
2305,109503,103954
2310,109506,103979
2315,109521,103955
2320,109550,103953
2325,109528,103953
2330,109520,103975
2335,109478,103969
2340,109476,103972
2345,109497,103963
2349,109508,103982
2354,109517,103970
2359,109533,103968
2364,109503,103977
2369,109512,103986
2374,109527,103993
2379,109556,104001
2384,109541,103983
2390,109518,103982
2395,109513,103998
2400,109472,104015
2405,109499,103997
2409,109513,104003
2414,109504,104011
2419,109505,104018
2424,109496,104013
2429,109493,104025
2435,109516,104017
2440,109526,104015
2445,109493,104023
2450,109453,104009
2455,109430,104013
2460,109431,104046
2463,109450,104033
2468,109446,104025
2473,109456,104032
2479,109443,104005
2484,109468,103997
2489,109455,103980
2494,109466,104009
2499,109475,103952
2504,109438,103936
2509,109414,103907
2514,109377,103909
2520,109389,103912
2525,109402,103892
2529,109400,103855
2534,109415,103842
2539,109419,103828
2544,109409,103821
2549,109427,103789
2554,109442,103801
2560,109440,103795
2564,109420,103763
2569,109396,103748
2574,109367,103760
2579,109388,103747
2583,109380,103745
2588,109401,103741
2593,109395,103742
2598,109404,103728
2604,109387,103749
2609,109417,103733
2614,109402,103722
2619,109415,103732
2624,109413,103728
2629,109381,103737
2634,109370,103727
2639,109362,103748
2642,109391,103732
2648,109382,103733
2653,109401,103747
2658,109406,103730
2663,109405,103753
2668,109428,103779
2673,109443,103752
2678,109435,103753
2683,109402,103745
2689,109400,103788
2694,109370,103765
2699,109395,103760
2703,109407,103778
2708,109418,103800
2713,109420,103808
2718,109418,103799
2723,109421,103799
2728,109445,103815
2734,109426,103832
2739,109455,103831
2744,109432,103835
2749,109400,103852
2754,109385,103835
2759,109407,103858
2762,109427,103856
2767,109434,103880
2772,109427,103868
2778,109434,103874
2783,109447,103902
2788,109435,103896
2793,109467,103878
2798,109468,103905
2803,109423,103898
2808,109411,103899
2813,109403,103901
2818,109425,103922
2823,109451,103904
2828,109454,103924
2833,109456,103905
2838,109458,103911
2843,109490,103923
2848,109492,103916
2853,109487,103952
2859,109459,103908
2864,109413,103912
2869,109435,103907
2872,109480,103911
2877,109477,103923
2882,109484,103912
2887,109479,103916
2892,109483,103902
2897,109519,103897
2903,109511,103916
2908,109515,103906
2913,109509,103901
2918,109483,103908
2923,109479,103901
2928,109464,103924
2933,109483,103910
2937,109507,103901
2942,109504,103918
2948,109523,103899
2953,109517,103904
2958,109549,103908
2963,109561,103891
2968,109563,103926
2972,109531,103898
2977,109516,103907
2982,109496,103904
2988,109507,103908
2992,109528,103910
2997,109542,103922
3002,109536,103929
3007,109535,103916
3012,109560,103907
3017,109568,103918
3022,109557,103910
3027,109600,103915
3033,109570,103900
3038,109542,103917
3043,109513,103934
3048,109542,103931
3052,109562,103919
3056,109561,103927
3061,109566,103930
3066,109577,103918
3072,109574,103925
3077,109604,103948
3082,109606,103933
3087,109614,103934
3092,109599,103944
3097,109568,103947
3102,109546,103934
3107,109578,103949
3111,109572,103937
3117,109594,103960
3122,109603,103968
