Time,IR_brachial,IR_ankle
12,57692,57714
17,74204,74407
22,90427,90224
27,107077,103941
31,109084,104127
36,109077,104153
41,109091,104145
47,109082,104149
52,109090,104148
57,109082,104186
62,109094,104168
67,109102,104168
71,109087,104178
76,109094,104186
81,109097,104187
87,109093,104199
92,109082,104221
97,109098,104196
102,109095,104214
107,109091,104218
112,109098,104203
116,109108,104218
121,109071,104216
125,109083,104215
131,109114,104211
136,109112,104236
141,109124,104213
145,109129,104222
150,109139,104216
155,109144,104243
160,109157,104234
165,109166,104233
171,109176,104206
176,109178,104239
181,109179,104228
185,109148,104217
190,109158,104207
195,109178,104209
200,109149,104216
205,109141,104203
210,109147,104218
216,109134,104225
221,109154,104221
226,109145,104198
230,109155,104225
235,109158,104201
240,109125,104219
245,109107,104219
250,109103,104222
256,109071,104224
261,109058,104239
266,109055,104239
271,109063,104235
275,109021,104226
280,109022,104227
285,108994,104228
290,109003,104236
295,108994,104221
301,109001,104240
306,109023,104253
311,109037,104251
315,109014,104224
320,109019,104251
325,109020,104281
330,109006,104243
335,109002,104240
340,109016,104247
346,109017,104274
351,109158,104255
356,109178,104269
360,109013,104252
365,109001,104265
370,109011,104255
375,108995,104260
380,108983,104258
386,108960,104263
391,108963,104277
396,108944,104266
400,108947,104281
405,108940,104293
410,108937,104258
415,108923,104254
420,108924,104283
425,108919,104282
431,108913,104247
436,108939,104228
451,108932,104241
456,108932,104202
461,108932,104164
465,108950,104135
471,108925,104144
476,108947,104101
481,108931,104090
486,108954,104095
491,108948,104080
496,108960,104076
500,108951,104085
505,108955,104086
509,108971,104084
515,108977,104068
520,108991,104054
525,108991,104050
530,108989,104069
535,108994,104052
540,109000,104054
545,108990,104037
550,108991,104044
556,109018,104040
561,109009,104061
566,109021,104042
571,109029,104072
575,109037,104095
580,109039,104044
585,109038,104087
590,109065,104092
595,109040,104032
601,109028,104025
606,109034,104069
611,109057,104036
616,109047,104061
621,109045,104035
626,109046,104041
631,109022,104080
636,109025,104075
640,109023,104096
645,109007,104109
650,108999,104119
655,108985,104120
660,108998,104125
665,108973,104140
670,108981,104158
675,108969,104147
680,108961,104147
685,108974,104161
690,108964,104188
695,108959,104207
700,108963,104201
705,108936,104223
710,108952,104217
715,108957,104227
720,108932,104232
726,108951,104246
731,108954,104226
736,108932,104249
741,108963,104192
746,108962,104195
750,108966,104201
755,108960,104214
760,108955,104175
765,108954,104189
771,108951,104190
775,108942,104218
780,108975,104225
785,108949,104225
790,108951,104223
795,108942,104212
799,108949,104208
804,108935,104213
809,108940,104240
815,108947,104204
820,108949,104227
825,108945,104209
830,108951,104225
835,108947,104229
840,108956,104246
845,108950,104259
850,108968,104222
856,108953,104213
861,108948,104227
865,108959,104209
870,108956,104184
875,108964,104154
880,108950,104194
885,108955,104177
890,108981,104163
896,109027,104161
901,109051,104161
906,109061,104176
909,109039,104209
914,109056,104198
919,108996,104192
924,108993,104208
929,109007,104224
934,109000,104216
940,108986,104238
945,108999,104215
950,109005,104227
955,109008,104238
960,108995,104213
965,109000,104228
970,108992,104294
974,108998,104238
979,109001,104241
985,108999,104260
990,109003,104267
995,108999,104289
1000,109019,104263
1005,109037,104268
1010,109088,104207
1015,109062,104216
1020,109014,104242
1025,108945,104252
1030,108930,104275
1035,109006,104264
1040,108987,104252
1045,108968,104297
1050,108966,104285
1055,108968,104328
1060,108971,104277
1065,109013,104283
1071,109010,104254
1075,109003,104256
1080,108919,104248
1084,108860,104259
1089,108850,104263
1094,108921,104271
1099,108926,104276
1104,108921,104255
1110,108903,104241
1115,108912,104234
1120,108927,104216
1125,108977,104255
1130,108965,104198
1135,108951,104118
1140,108882,104116
1145,108817,104108
1150,108819,104102
1154,108847,104117
1159,108848,104107
1164,108897,104101
1169,108895,104095
1174,108875,104125
1179,108962,104097
1184,108944,104082
1189,108915,104066
1195,108863,104040
1200,108802,104021
1205,108824,104024
1210,108824,104019
1214,108833,104038
1219,108837,104033
1224,108854,104033
1229,108869,104036
1234,108896,104047
1240,108962,104054
1245,108938,104060
1250,108935,104072
1255,108835,104053
1260,108805,104029
1265,108823,104013
1270,108854,104008
1275,108829,104041
1284,108860,104074
1289,108852,104011
1294,108833,104055
1299,108845,103989
1302,108865,104059
1307,108879,104095
1312,108883,104123
1317,108881,104099
1323,108885,104152
1328,108898,104201
1333,108925,104174
1338,108901,104172
1343,108886,104134
1348,108872,104070
1353,108850,104075
1358,108851,104099
1362,108850,104143
1368,108887,104186
1373,108899,104197
1378,108882,104184
1383,108888,104203
1388,108919,104232
1393,108929,104305
1398,108908,104267
1403,108885,104262
1409,108884,104180
1414,108862,104138
1419,108877,104174
1422,108895,104029
1427,108894,104249
1432,108916,104224
1437,108901,104222
1442,108887,104228
